% Ceci représente la classification de séries en fonction de leur genre.

@relation series

@attribute nom_fichier string
@attribute contenu string
@attribute classe {animation, crime, medical}

@data
'the_fairly_oddparents','rule fairy godparent wish kid rule fairy godparent be see anyone kid rule cartoon specify child allow blab fairy say fairy mess love matter grant pleasure child teen adult reach lot fact audience age series slot cable week wish be use wish have discover set godparent desire head fulfill wish yield fun be adult ensue misadventure teach wish thing understand handle responsibility show divide segment rowdiness dog underpants dentist tooth teacher hit car boy coyote cop slap ground spatula dog face baseball idea crudity parent transform battle superhero superpower morph backside moment viewer stare bottom swap brain dog water toilet school think peer suit trip witness crowd people prepare eat sever arm television tradition dad bumbler mom thing story thread need quantity time folk message eavesdropping parent kid value help other do school live take care tooth visit dentist ',animation
'animation_domination_high-def','day be be time people gnash tooth behavior penchant strangle lad news storey protest course consider be family look unit parfait look day outrage 1990s get comparison argument latter be call entertainment venture start Internet cache work short find home block night primetime programming cartoon rotate lineup idea become primetime show website be feature rest replace other watch offering Internet call snippet tweak comic yesteryear schooler revel sex drug tongue cheek course moral rate be assign viewing material storey tell sprout mind artist brother message episode feature battle army feces get keep cartoon television Internet be see youngster short feature web rectum riff pony feature decay corps accord PTC tube get PTC article post PTC website nothing push deprave trash child block appear TV year couple year chairman state determination bring content time be view million child remember start be intend adult time boast show view kid way year child be lure sight child icon expose nudity expose genitals dismember corps level violence discretion PTC executive be primetime quibble episode review Everyone horrify have club put application be join club parent weep learn orientation popularity skyrocket girl have pay attention thing want amaze learn gay be gag kid abuse tot drink pill joke relate homosexuality character take peyote scalping people name misuse girl picture penis forward everyone school mock shape correct problem encourage guy school sext picture penis Everyone scene masturbation talk erection credit slew episode sext part cover box guy run dress room part backside show girl go bathroom character misuse name time ancestor family mission protect king king underling acid shark man dissolve acid shark chomp story convey rest content thousand soldier swath earth other conflagration wave book guy head picnicker eat poison cake hybrid cannonball zombie guy result feces take zombie colony excrement earth queen scepter make everyone world create army battle melee other zombie behead feces stomp ',animation
'star_wars','change world movie reconfigure understanding word blockbuster be eclipse box office handful movie be make cartoon year show birth premiere season cognoscenti course need history lesson explain war franchise timeline everyone bit order series exploit run span live-action film warrior fight behalf rogue army confederacy know menace adventure galaxy episode feature script part intrigue battle ally outflank space ground mission get supply blockade ally help people ward interloper try defuse assassination plot thing object lesson flash screen emphasis outset episode search truth accept truth war truth casualty subtext question nature poke ethic episode other be cartoon clone kill field battle series draw close forget hurry doom energy field know word movie review series whole clone war viewer regard energy field harness dark conversation nature one live-action film agility combat twist fan series have see movie subtlety cartoon violence fact parent do grapple grant carte blanche permission travel galaxy episode review clone name lose battle separatist assassinate master skirmish shot head death blow soldier follow order attack mystify clone colleague fall victim form warfare decide way know send tup planet be examine get separatist launch attack craft kill everyone victim yank vacuum space other shoot wreckage clone float space eye stare darkness kill stab chest arm slice torso other blow clone shoot kill shootout movie void command ship bear include bash batter shower comet planet force occupant figure way home episode combat theme expect colonel pilot difference training programming alien ability fall underling colonel sky show sign deliver unit know talk programme colonel self-pity void answer none hope illusion death certainty say programming surprise colonel cheer save creature follow computer programming animal instinct couple joke make suicide crew skeleton creature robot colonel talk rupture gizzard call get shoot separatist force strand planet seek ride world conflict farmer group pirate share crop farmer contract bounty hunter protection aid stand pirate episode lesson courage hero trust friendship underlie message way deal bully stand battle scene living breathe combatant side oppose bounty hunter pirate death body ground pirate spear chest blow building hover speeder result casualty side be task get much-need supply world problem be pummel blockade orbit armada command combat episode ship trade fire space result explosion casualty couple scene bomber devastate city explosion case relationship decide order way proceed label result mission ',animation
'gravity_falls','imagine ride character employee imagine place ride character employee imagine thing remain gift shop fez-wearing con man count cash front freak imagine setting player ting toon twin live work summer tutelage uncle show manner fabricate distraction include wax statue wolf boy plaster dog hair tourist trap have call get help worker bee Wendy do anything everything tourist cash plunge surround forest bring mystery land town road stone throw seem burst oddity range ghost gnome merman Minotaur take throw forest sprinkle dash have be create idea call show have edge feel home say content limit rating age target audience adventure infatuation learn moral end episode affection TV role model side bit play giggle incantation crystal power alter world hat idea headgear icon scatter landscape side ledger world douse viewer kind sensibility crowd language seem go butt character care way character name borrow episode review make money be customer bet leave vacation day turn store money win task be follow dream be dancing question mark drag beastie forest result monster tourist hospital Mace try get thing track vacation participate wheel game show winning everything guess word word people get something guess make money wallet change tourist hit head worker mark price way tourist customer sticker husband mouth slapstick violence lie sort character butt clothes TV prepare cash shower Everything waist shield podium question mark wear underwear ',animation
'simpsons','son know world show snag sitcom slot spoof sitting president span Olympic summer winter survive special unite give interjection peddle billion dollar merchandise script primetime series history outlive mean be fact review be tell anything do know show make mind consider be satire condition think cartoon impair camp say agree asterisk question become part paradox mirror distort resemblance animate outline beginning parent pundit lambaste show humor lack role T-shirt feature grin visage word underachiever blanket country be family want be want visit vacation show include publication be call be symptom cause decline culture other think time loosen bit something be happen clan fault love care way decade century world decide sort need mind pressure school work politics medium natural disaster stick decade sickness health hair hair family become shorthand family come asterisk insert way home work trinket pocket show homer dad underachieve fallout violence gore restrict embed homer drink beer dehydrate water buffalo smoke power plant wrench reactor assistant do anything start sort family boss speak thing out season officiate wedding foreigner wind church skip episode house way judgment tone episode deal Christianity mock note creator equal-opportunity jokester arena Hinduism feel heat sarcasm pothole landscape suicide nudism masturbation bestiality bully drug abuse exemplify family exemplify TV series be intend show family be symptom culture go make see time symptom do episode review rest form world everything everything else nobody hurt have vision existence everything be make meat thing hand put finger call church find solace religion priest talk beginning scissor bag turn world figment imagination bond be invite girl see movie be movie word be world way keep girl fact kid grow time version sex piece scatter bedroom bathroom underwear school superintendent lunch lady kiss broom closet homer strike fall statue surfer fight creation include people school helicopter destroy homer serve beer horrify beer ghost character advent calendar somebody name think yell go come homer reality kiss butt leave celebrate show episode city feed family make town wind outland live neighborhood troublemaker citizen outland re-create metropolis way motif offer thought acceptance neighborliness gag flatulence drug alcohol homosexuality masturbation defecation urination driving abuse underwear lack town find romance barricade bedroom sex sex cover bed catch family be crucify bury screw time friend foe participate go parade feature demon someone kill wander street trade pelt soda misuse name ',animation
'adventure_time_with_finn_jake','time television video game plumbing child sit hearth listen storey tell parent grandparent uncle be child storey have child be attack wolf way grandma house lure gingerbread house be cook eat child be danger be eat attack troll kill stepmother day have be cartoon hit show way storey tell generation generation seem think character be draw line whimsy protagonist lad arm hat time hand adventure join dog keep land evildoer draw soul land princess effort cajole marry crush someone know name rainbow unicorn name seem surface land create part story shock something resident country kingdom bit bracken time suggestion human survive friend acquaintance instance mishmash DNA inhabit wizard sign zombie zombie sign dungeon father stand-in Satan magic fact everyone Finn have knack cast spell dog shift shape will forget blush fur think thing episode time girlfriend game point boyfriend conversation death reference word situation put bunch wisecrack adult room help end something creator tell humor adult kid stuff adult kid head do be goal have mind be make something everyone watch folk age watch become something cult hit schooler college-age adult sibling take storey everyone watch dilemma solve creator assurance make kid look bed wolf witch make parent television episode review remove memory break memory explore head include girl play doctor bear ruin wreckage world nose move memory boy dancing underwear singing fanny bun groin head jump chest foot squish offend boyfriend seduce pair breakfast princess honey month hit hit man assassin kill hit save freeze poster woman workout room offer hit man pair night vision X-ray goggle lady rear goblin hear character make fun bubble butt reference make be burn regret eat meat come character freak euphemism testicle ',animation
'south_park','brainchild put map keep commonplace town grader push envelope lampoon everything religion celebrity euthanasia politics race sexuality start point anything game ridicule case scorn target be deserve vantage point spoof today cable TV climate behavior opportunity sitcom reach episode win Emmy award be name week time page devote episode review field trip candy factory packaging fudge result string prompt Cruise celebrity ridicule file lawsuit town say blackmail threat violence be order day woman bikini vomiting wipe someone crotch slur reference intercourse homosexuality be language version episode combine name name commingle form robot shoot breast man show wear diaper man confine gear celebrity depict manta ray stab bleeding chest note episode air creator find receive end threat group know make statement react episode mockery group post admonition website warn do wind filmmaker be shoot stab documentary woman air show threat warning reality happen comedy step censor usage name follow-up episode block version be stream understand fan think bleep be continuation storyline release statement year be do do show stand deliver version show make determination alter episode be part comedy add bleep fact speech be intimidation fear do mention get bleep mind share flesh-and-blood band hairstyle demeanor promise ring plot nutshell grader everybody perform sex boyfriend parking lot jazz go whore friend put ticket concert inspire plot girlfriend bring meet promise wear promise ring deal insist wear purity sell sex girl credit tirade brag make billion ignorance decade girl father rant television TV while episode feature host curse crudity watch website steep innuendo titillate language phallus make snow time blood tar ',animation
'the_legend_of_korra','be year save home world machination thing change place be time pull thread civilization go resemble civilization motorcar movie world magic coexistence time review update romp season book encounter conflict center incarnation lot folk bear ability manipulate bend world element earth air fire water spirit ability bend responsibility feel task while fact seem abdicate preordain role vanish year return save day be put group force call quash dictatorship balance come cost be time nothing predecessor sense storytelling style humor instance story character thing teen series way command power be present rollick adventure story cloak-and-dagger thriller language violence game level find rerun cartoon hero authority learn elder wisdom offer have think give penchant undercut authority deliver laugh live-action comedy adventure channel show concern reaction attraction teen bat eye relationship remain series minute episode friend walk spirit portal holding hand turn face smile scene seem be kiss have allow viewer interpret hand-holding show writer make say want make feeling write website moment spirit portal evolution be friend be couple side thing viewer essence dive reincarnation exploration power flesh theme introduce spirit demigod time deal underpinning say underworld be blow map be transplant scenario episode review showdown dictator doomsday machine brother battle engineer take robot engine risk life do drag engineer safety engine room kill thing plan life line save foe hand give look spirit world vacation gesture show writer hint attraction war die people explosion fire earth load metal blade crash thing robot arm gun spirit portal creature call spirit come frolic setting aftermath attack arena pal league do know father design join turn back friend glove ally take phalanx platinum use ability fight clink clank foe people knock skirmish trick knock tie guard fail uncover plot head city security resign post fight law live father mansion asking ask forgiveness permission think be ',animation
'dragon_ball_z','replace cartoon fad choice kid craze begin draw comic decade be turn cartoon television year be dub export story line extreme player weave reality raise artist series hero boy tail quest dragon ball summon dragon dragon muster petition bring ball scatter grow wife boy friend savior installer peace firepower minute deduce lot fantasy violence fist sword machine gun laser bystander have duck cover pop phone booth bomb go fan hook dub dialogue viewer be half-hour imagination land lesson emerge kill scientist destine do anything concern welfare people profanity slip day episode innuendoe fascination build series be violence be hallmark cartoon equivalent toss anvil heart-pound mayhem aim boy think sugar consume child get ',animation
'the_adventures_of_puss_in_boots','adventure puss cat pet freeloading leave home day time slink pretend leave cat say puss attachment town surface be kitty find boot make walk see life cat dodge danger thought friend question puss feline time prove helpmate series movie dedicate guy wander make use pounce adventure adventure pause lap victory milk loot cause kitty swoon stumble village find home family be be draw cat grow town swarm orphan collection adult be need protect treasure rampage thief world guard cat cat sandpaper tongue clean do say adventure puss problem talk animal bravado derring-do baker dozen musketeer episode include rollick helping fisticuffs fight cause injury embarrassment show title sequence cut clothes adversary leave undies cover private part mix tell be found mage talk statue treasury vault fill item creature trek fly town find course tabby cast smolder glance direction intention subdue say shenanigan show be find production partner determine make something come bit surprise give reputation outlet programming be saturate content find series entertainment tent try plant peg dirt take time realize puss share flaw list feline heart be say show town place visit episode review episode release town village found magician house orphan treasure puss coin treasury town cloak magic getaway lady soul model life compendium book be Bible mess make night job set puss puss tell advice child wet bed someone stays guard cat duty puss smite touch hand brawl horde bandit death opening adventurer outlaw lover giggle maiden safety opponent sword leave cower skivvy orphan have crush pig language crush child nose ',animation
