% Ceci représente la classification de séries en fonction de leur genre.

@relation series

@attribute nom_fichier string
@attribute contenu string
@attribute classe {animation, crime, medical}

@data
'the_fairly_oddparents','rule fairy godparent wish kid rule fairy godparent be see anyone kid rule hot new cartoon specify child allow blab fairy say fairy mess true love matter more grant pleasure child old teen adult reach lot fact audience age amazing animated series least slot cable week popular wish be use wish impossible have discover own personal set fairy godparent desire little head fulfill wish yield frivolous fun be adult ensue misadventure teach wish thing understand ready handle grown-up responsibility half-hour show divide segment full cartoonish rowdiness dog underpants evil dentist tooth teacher hit car boy coyote cop slap ground giant spatula dog face baseball idea crudity parent transform battle superhero superpower morph backside moment viewer stare bare bottom swap brain dog water toilet school think tough few peer suit trip witness crowd people prepare eat sever arm true television tradition real dad lovable bumbler mom thing consistent story thread need quantity time folk more message eavesdropping parent kid value help other do school live take care tooth visit evil dentist ',animation
'animation_domination_high-def','day be controversial be time people gnash tooth inappropriate behavior penchant strangle lad news storey protest course consider many be solid family sweet sarcastic look nuclear unit nutty parfait look day outrage early 1990s get good comparison powerful argument latter be call short new entertainment venture start Internet cache unrelated safe work animated short find home hour-long block night primetime programming cartoon rotate lineup idea become own primetime show website be feature rest replace other watch crude initial offering Internet call snippet graphic explicit bad repugnant troubling tweak innocent comic yesteryear high schooler revel sex drug bad satirical tongue cheek course discernible moral rate be assign viewing material storey tell sprout mind artist brother violent free real positive message revolting recent episode feature titular battle army feces get bad keep objectionable cartoon television Internet be see youngster short feature nude web rectum riff little pony feature nude decay corps accord PTC tube get PTC article post PTC website nothing push deprave trash child block appear prime-time TV year couple year own chairman state determination bring content prime time be view million impressionable child remember start be intend adult prime time boast top show view kid way few year pre-teen child be lure sight beloved child icon expose full-frontal nudity expose genitals dismember female corps sickening level violence extreme content editorial discretion PTC wrong executive be ready primetime hard quibble episode review Everyone horrify have club put application be gay join gay club parent weep learn newfound sexual orientation popularity skyrocket girl have pay attention crude thing want amaze learn being gay be cool gag kid abuse tot drink pill several crude joke relate homosexuality character take peyote scalping people name misuse girl picture penis forward everyone school mock shape correct problem encourage guy high school sext picture own penis Everyone scene public masturbation graphic talk erection credit slew episode sext critical part cover black box naked guy run dress room part backside visible show girl go bathroom character misuse name half-dozen time first ancestor family ancient mission protect secret king king underling acid shark man dissolve acid shark chomp much story convey rest gratuitous content thousand soldier huge swath earth other fiery conflagration poisonous wave book guy head picnicker eat poison cake hybrid cannonball zombie guy result feces take zombie colony excrement earth queen magic scepter make everyone world create army battle melee other zombie behead feces stomp bloody ',animation
'star_wars','change cinematic world little movie reconfigure cultural understanding word blockbuster be eclipse domestic box office handful other movie be make cartoon year show birth auspicious theatrical premiere entire sixth final season cognoscenti course need history lesson explain titular war franchise timeline everyone bit order series heroic exploit much run feisty three-year span live-action film warrior fight behalf rogue army confederacy know menace adventure galaxy few light episode feature future script equal part intrigue battle ally outflank cunning space ground mission get supply blockade ally help indigenous people ward interloper try defuse assassination plot many other thing object lesson flash screen emphasis outset episode search truth easy accept truth hard war truth first casualty occasional deep subtext question nature good evil poke situational ethic episode light silly other be grim dark own cartoon violent clone kill field battle series draw close hard forget most hurry own inevitable doom mystical energy field know word movie review relevant series whole clone war viewer regard energy field harness good dark ill long expository conversation nature one live-action film superhuman agility combat twist many young young fan animated series have see movie such spiritual subtlety cartoon violence fact parent do grapple grant carte blanche permission travel certain galaxy episode review unknown clone name lose critical battle separatist assassinate master skirmish shot head dead actual death blow good soldier follow order attack mystify clone colleague fall victim form biological warfare decide only way know sure send tup planet be examine get difficult separatist launch attack craft kill everyone victim yank vacuum space other shoot wreckage dead clone float space wide vacant eye stare darkness kill stab chest arm slice torso other blow clone shoot kill shootout reminiscent movie void command diminutive ship bear include bash batter shower comet featureless planet force occupant figure way home episode light combat free theme deep expect colonel computerized pilot difference training programming alien organic ability fall short more reliable computerized underling colonel sky show sign deliver other unit know talk programme colonel philosophical self-pity void answer none hope illusion death only certainty say programming surprise colonel cheer save creature follow computer programming animal instinct couple joke make suicide crew skeleton creature robot colonel talk rupture gizzard call stupid get shoot separatist force strand planet seek ride world conflict peace-loving farmer group pirate share crop farmer contract bounty hunter protection aid stand pirate episode stated lesson courage hero trust friendship underlie message good way deal bully stand most battle scene living breathe combatant side oppose bounty hunter pirate death lifeless body ground pirate spear chest blow building hover speeder result further casualty side be task get much-need supply besieged world problem be pummel blockade impressive orbit armada command combat episode ship trade fire space many result explosion presumed casualty couple brief scene bomber devastate city explosion case relationship decide order good way proceed label reckless reckless result mission ',animation
'gravity_falls','imagine ride character employee imagine place ride character employee imagine only thing remain tacky gift shop fez-wearing con man count cash front dank fake freak imagine main setting animated main player ting toon 12-year-old twin live work summer tutelage great uncle show manner fabricate distraction include muscle-bound wax statue wolf boy plaster dog hair tourist trap have call get little help seasonal worker bee aloof teen Wendy goofy do anything everything separate tourist cash plunge surround forest bring real mystery land town road stone throw seem burst preternatural oddity range ghost gnome merman manly Minotaur take throw forest sprinkle dash have be create good idea call twisted show have edge feel home say content limit rating trendy twisted age target audience adventure 12-year-old infatuation learn thin moral end episode obvious affection bad TV role model side slippery spiritual bit play giggle magic incantation crystal power alter world hat idea masonic headgear other such icon scatter landscape positive side ledger world douse viewer kind sexual double teen sensibility crowd language seem go occasional butt character care own flawed way character name borrow episode review make more money be nice customer bet leave vacation day turn store most money win task be nice follow dream be dancing question mark drag real supernatural beastie forest result disastrous monster tourist hospital Mace try get thing track vacation participate wheel game show winning everything guess word word people get something guess wrong make money wallet spare change tourist hit stuffed head worker mark price way gullible tourist customer bumper sticker husband mouth slapstick violence lie sort character butt clothes TV prepare cash shower Everything waist shield podium question mark costume wear underwear ',animation
'simpsons','son know world landmark animated show snag own half-hour sitcom slot spoof sitting president span Olympic summer winter survive special unite give interjection peddle billion dollar merchandise longest-running script primetime series American history outlive even mean be long fact review be able tell anything do know show make mind consider be cogent witty warmhearted satire American condition think cartoon crass lewd impair camp say agree asterisk question become indelible part American paradox rebellious conservative wayward moral corrupt cool mirror distort resemblance animate outline beginning parent pundit lambaste show crude humor lack viable role T-shirt feature grin visage word underachiever proud blanket country be family want be want visit vacation show many include fledgling publication be call be symptom cause steep decline culture other think time loosen bit something be happen clan many many fault love care way second decade new century old-fashioned world decide sort need first mind pressure school work politics medium occasional natural unnatural disaster stick good decade thick thin sickness health high hair hair family become shorthand nuclear family come asterisk insert nuclear more way home work radioactive trinket pocket show edgy rebellious lewd crude homer bad dad loud underachieve sexual double much fallout animated violence gore restrict embed homer drink beer dehydrate water buffalo smoke power plant wrench reactor lovesick assistant do anything start whole different sort family oblivious boss speak such thing out season officiate wedding foreigner downright weird remote funny wind church skip episode house way judgment overall tone episode deal Christianity skeptical good mock bad note creator equal-opportunity jokester arena Hinduism feel searing heat sarcasm many other pothole landscape suicide nudism masturbation bestiality bully drug abuse few short exemplify ideal family exemplify ideal TV series be intend show family be symptom culture go wrong make hard see time symptom do episode review rest form world everything everything else nobody hurt have vision existence everything be make meat weird thing hand put finger call church find airtight solace religion priest talk beginning scissor open bag turn world figment imagination real bond be invite old girl see next movie be movie word be world way keep little girl fact kid grow time special version sex plastic piece scatter bedroom bathroom underwear school superintendent lunch lady kiss broom closet homer strike fall statue surfer fight several creation include people school helicopter destroy homer serve beer horrify real beer ghost character advent calendar somebody name think yell go come homer reality kiss flat plastic butt last leave celebrate show episode city feed family make famous town wind outland live neighborhood troublemaker citizen outland re-create old metropolis way motif offer nice thought acceptance neighborliness gag flatulence drug alcohol homosexuality masturbation defecation urination drunken driving physical abuse underwear lack town find romance barricade bedroom sex fugitive sex naked cover bed catch family be crucify bury screw bold time friend foe participate go parade feature demon someone kill wander street trade pelt free soda misuse name ',animation
'adventure_time_with_finn_jake','time television video game indoor plumbing child sit hearth listen storey tell parent grandparent crazy uncle be child storey have child be attack wolf way grandma house lure massive gingerbread house be cook eat child be danger be eat attack troll kill evil stepmother such carefree innocent day have be cartoon hit show way curious storey tell generation generation cute seem innocent first dark think character be draw talented full bold line whimsy protagonist little lad waggly arm weird hat time hand adventure join faithful dog keep land safe such nefarious evildoer draw lonely soul land many princess effort cajole marry crush someone know first name rainbow unicorn first name seem surface land create explicit part story shock something resident various country kingdom pocked bit bracken time suggestion last real human survive friend acquaintance less human instance mishmash human DNA many bad inhabit fearsome wizard sign zombie zombie sign largish dungeon sullen father incarnate stand-in Satan dark magic fast furious fact everyone Finn have knack cast spell dog shift shape will forget blush fur think suggestive crass thing episode time girlfriend game point boyfriend conversation painful death common sly reference bad word slimy situation put bunch wisecrack adult room help end something subversive creator tell humor adult kid stuff adult kid head do be goal have mind be make something everyone watch folk age watch become something cult hit high schooler college-age adult young sibling modern-day take bizarre askew storey everyone watch dilemma solve creator calm assurance make kid look bed wolf witch make parent little afraid television episode review remove memory break various memory explore head include little girl play doctor stuffed bear ruin wreckage world nose move memory little boy dancing underwear singing fanny bun groin head jump chest foot squish offend boyfriend seduce pair breakfast princess honey month angry hit online hit man spectral assassin kill hit save freeze poster muscular bikini-clad woman workout room offer hit man pair night vision X-ray goggle lady naked rear animated goblin hear character make fun bubble butt reference make be burn regret eat meat come character freak euphemism testicle ',animation
'south_park','brainchild put map keep weird gross absurd supernatural outrageous inane commonplace small fictitious town cynical foul-mouthed fourth grader push envelope galore notorious crass satirical morbid lampoon virtually everything religion celebrity euthanasia politics race sexuality start point anything controversial popular fair game rancid ridicule few case scorn target be deserve vulgar vantage point most spoof such incompetent abusive bad today cable TV climate such extreme behavior equal opportunity sitcom reach landmark episode win several Emmy award be name bad week multiple time long page devote episode review field trip candy factory packaging fudge result string harsh homosexual double prompt outraged Cruise other celebrity ridicule file class-action lawsuit town say blackmail threat violence be order day more woman bikini vomiting wipe someone crotch racial slur vulgar obscene reference intercourse homosexuality be contemptuous foul language online version episode multiple combine name name commingle form giant robot shoot breast hairy man show wear diaper man confine full-body gear late celebrity depict manta ray stab bleeding chest note episode air creator find receive end threat York-based Islamic group know make radical statement react episode mockery group post admonition website warn do stupid wind Dutch filmmaker be shoot stab documentary Muslim woman air show threat warning reality happen comedy step censor usage name follow-up episode block unedited version be stream online understand many fan think bleep be continuation satirical storyline release statement year be do do show stand deliver version show make determination alter episode be part comedy add bleep fact customary final speech be intimidation fear do mention get bleep real mind share common flesh-and-blood band other hairstyle demeanor promise ring plot nutshell experienced fifth grader everybody perform oral sex last boyfriend parking lot jazz go steady notorious whore friend put tingly ticket concert inspire plot girlfriend bring meet promise wear promise ring raw deal insist wear purity sell sex little girl credit massive anti-Christian tirade brag make billion Christian ignorance decade girl Christian father whole rant television more TV while episode profane feature host other curse crudity watch website steep graphic innuendo titillate language phallus make snow time violent blood mean tar ',animation
'the_legend_of_korra','be year save home world dastardly machination thing change mystical medieval place be time pull cultural spiritual thread ancient civilization go modern resemble fanciful civilization motorcar grainy movie world ever-present magic peaceful coexistence time review update romp planned season book encounter own unique conflict center headstrong new incarnation lot folk bear ability manipulate bend world core element earth air fire water spirit ability bend big responsibility feel task while fact seem abdicate preordain role vanish year return save day be put group force call quash militaristic dictatorship balance come cost be high time nothing popular predecessor last sense storytelling similar style humor instance actual story different character old thing old teen most series way command power free-spirited be present rollick adventure story urban cloak-and-dagger thriller language pristine violence video game level same find typical rerun old cartoon hero courageous rebel authority learn elder more wisdom offer have think give penchant undercut parental authority deliver inappropriate laugh live-action comedy animated adventure channel clean show other concern reaction attraction teen bat eye relationship remain chaste most series last minute last episode long-standing female friend walk spirit portal holding hand turn face other smile innocent scene seem be kiss have allow viewer interpret hand-holding Platonic show writer make explicit bisexual say want make possible romantic feeling other write website moment spirit portal evolution be friend be couple spiritual side thing most viewer familiar ethereal essence dive reincarnation exploration supernatural power flesh eastern religious theme introduce spirit demigod less time deal such otherworldly underpinning say underworld be blow map be transplant more scenario episode review last climactic showdown dictator gigantic doomsday machine handsome young brother battle engineer take robot engine risk life do drag engineer safety engine room kill last thing plan haywire life line save longtime foe hand give other meaningful look spirit world vacation gesture show writer hint lesbian attraction war die people explosion fire earth load metal blade crash thing robot own arm massive gun natural spirit portal creature call spirit come frolic setting aftermath attack arena pal league do know father evil design join turn back friend own glove ally take phalanx platinum use magical ability fight clink clank foe several people knock skirmish trick knock tie guard fail uncover plot head city security resign post fight law live father mansion first asking easy ask forgiveness permission think be prissy ',animation
'dragon_ball_z','replace cartoon fad choice American kid new craze begin draw Japanese comic decade be turn cartoon Japanese television year be dub export story line Byzantine extreme few player weave infinite reality raise renowned martial artist series hero boy tail quest dragon ball summon dragon dragon muster petition bring ball scatter grow wife young boy own friend planetary savior installer peace superior firepower few minute deduce lot fantasy violence fist sword machine gun laser idle bystander have good duck cover pop phone booth nuclear bomb go many young fan hook corny dub dialogue viewer be all-powerful least half-hour imagination land positive lesson emerge kill scientist destine evil do anything concern welfare innocent people profanity rare slip day worth back-to-back episode few sexual innuendoe dark disturbing spiritual fascination build series be violence be hallmark Japanese American cartoon modern equivalent toss anvil heart-pound mayhem aim 10-year-old boy think video sugar consume much child get loopy ',animation
'the_adventures_of_puss_in_boots','adventure puss most cat less pet more freeloading liable leave home day time slink little pretend leave cat independent say puss attachment town unusual surface be independent kitty likely find famous boot make walk see most life cat dodge danger second thought friend question puss feline time prove invaluable helpmate series movie dedicate great green guy wander make own use pounce adventure adventure pause enough lap little victory milk nearby loot cause certain coquettish kitty swoon stumble quaint quirky wealthy village find real home odd loving family be beautiful naive be original draw swashbuckling cat more grow fond town swarm gregarious orphan collection eccentric adult be need protect treasure rampage thief world only legitimate guard cat cat sandpaper tongue clean do say adventure puss problem talk animal martial bravado derring-do baker dozen musketeer rare episode include rollick fulsome helping fisticuffs fight cause animated injury embarrassment show title sequence cut clothes adversary leave undies cover private part mix tell be found powerful mage talk statue treasury vault fill magical item fantastical creature trek fly town find first course titular tabby cast smolder glance direction amorous intention subdue say sordid shenanigan show be find production partner determine make something come bit surprise give reputation outlet popular original programming be saturate caustic content find such gritty gratuitous series big entertainment tent try plant peg clean dirt take much time realize puss share flaw conceited selfish petty prideful list titular feline good heart same be say show town nice place visit episode review first episode release secret town village found magician house orphan magical treasure puss coin treasury town cloak magic quick getaway main lady sweet naive soul model life compendium book be Bible mess make night job set puss first puss unmoved tell such advice child wet bed someone stays guard cat duty puss smite touch hand cartoonish brawl horde bandit death opening adventurer outlaw lover giggle maiden safety opponent sword leave cower skivvy human orphan have crush anthropomorphic pig language crush child nose ',animation
